,feature,importance
22,perimeter_worst,0.16417919464912895
27,concave points_worst,0.14966867968133094
20,radius_worst,0.10167975002690925
7,concave points_mean,0.09828539840897431
23,area_worst,0.0876074854475612
3,area_mean,0.0651580626811654
6,concavity_mean,0.04495931133417411
13,area_se,0.03711914060192482
0,radius_mean,0.03650995615424148
2,perimeter_mean,0.029809973629106992
21,texture_worst,0.016841107607335867
26,concavity_worst,0.01666881780928366
12,perimeter_se,0.016127469251405957
5,compactness_mean,0.015481025265703685
25,compactness_worst,0.015352787731203618
1,texture_mean,0.014861345416573489
24,smoothness_worst,0.01435319204215201
10,radius_se,0.013471949186244652
28,symmetry_worst,0.01196208339891159
4,smoothness_mean,0.007079233514144929
11,texture_se,0.00637938461214314
19,fractal_dimension_se,0.006025523215894041
15,compactness_se,0.005756980772895989
14,smoothness_se,0.005084677455171598
29,fractal_dimension_worst,0.004715801359740367
16,concavity_se,0.0037677071089788515
18,symmetry_se,0.0030630845949747906
8,symmetry_mean,0.002839541411859036
17,concave points_se,0.0027240655664664153
9,fractal_dimension_mean,0.002467270064398927
30,Unnamed: 32,0.0
